EmployeeNumber,Age,Department,OverTime,Nivel_Risco,Probabilidade
38511,26,Research & Development,Yes,🔴 CRÍTICO,0.9637719
41004,25,Research & Development,Yes,🔴 CRÍTICO,0.9617516
14626,25,Sales,Yes,🔴 CRÍTICO,0.9610717
21890,27,Sales,Yes,🔴 CRÍTICO,0.95857877
8788,29,Sales,Yes,🔴 CRÍTICO,0.95691085
9576,26,Research & Development,Yes,🔴 CRÍTICO,0.9568802
36949,27,Sales,Yes,🔴 CRÍTICO,0.95576227
1534,28,Sales,Yes,🔴 CRÍTICO,0.9552548
40462,30,Research & Development,Yes,🔴 CRÍTICO,0.9539559
29782,24,Sales,Yes,🔴 CRÍTICO,0.95363814
22650,24,Research & Development,Yes,🔴 CRÍTICO,0.95340997
3652,28,Research & Development,Yes,🔴 CRÍTICO,0.9526073
8442,26,Research & Development,Yes,🔴 CRÍTICO,0.95247585
9392,30,Research & Development,Yes,🔴 CRÍTICO,0.9522968
32756,29,Research & Development,Yes,🔴 CRÍTICO,0.95189184
16271,29,Research & Development,Yes,🔴 CRÍTICO,0.95065916
38605,26,Research & Development,Yes,🔴 CRÍTICO,0.9505998
28032,28,Research & Development,Yes,🔴 CRÍTICO,0.95044094
21469,28,Research & Development,Yes,🔴 CRÍTICO,0.94952524
43500,26,Research & Development,Yes,🔴 CRÍTICO,0.9494917
25074,27,Sales,Yes,🔴 CRÍTICO,0.94822896
9859,28,Human Resources,Yes,🔴 CRÍTICO,0.94655275
43547,26,Human Resources,Yes,🔴 CRÍTICO,0.9464423
17733,28,Human Resources,Yes,🔴 CRÍTICO,0.9455623
8267,25,Sales,Yes,🔴 CRÍTICO,0.94521785
40102,27,Research & Development,Yes,🔴 CRÍTICO,0.94507325
33928,27,Sales,Yes,🔴 CRÍTICO,0.9445791
2204,29,Sales,Yes,🔴 CRÍTICO,0.94419456
31023,28,Sales,Yes,🔴 CRÍTICO,0.9438266
23918,24,Sales,Yes,🔴 CRÍTICO,0.94367254
33387,45,Sales,Yes,🔴 CRÍTICO,0.94126076
15193,42,Research & Development,Yes,🔴 CRÍTICO,0.9401179
43021,30,Sales,Yes,🔴 CRÍTICO,0.9398636
36989,44,Research & Development,Yes,🔴 CRÍTICO,0.93870944
4092,38,Sales,Yes,🔴 CRÍTICO,0.9379052
46569,25,Research & Development,Yes,🔴 CRÍTICO,0.93780434
44800,24,Research & Development,Yes,🔴 CRÍTICO,0.93765336
19104,58,Research & Development,Yes,🔴 CRÍTICO,0.937486
32151,24,Sales,Yes,🔴 CRÍTICO,0.93737143
41916,27,Research & Development,Yes,🔴 CRÍTICO,0.9373518
11324,51,Research & Development,Yes,🔴 CRÍTICO,0.9372611
37855,29,Research & Development,Yes,🔴 CRÍTICO,0.93665457
47872,27,Research & Development,Yes,🔴 CRÍTICO,0.936343
22533,19,Human Resources,Yes,🔴 CRÍTICO,0.9355963
31459,20,Sales,Yes,🔴 CRÍTICO,0.93500066
18313,28,Research & Development,Yes,🔴 CRÍTICO,0.93464977
43339,28,Research & Development,Yes,🔴 CRÍTICO,0.9345973
13525,30,Research & Development,Yes,🔴 CRÍTICO,0.93454856
37293,35,Research & Development,Yes,🔴 CRÍTICO,0.93369085
287,21,Human Resources,Yes,🔴 CRÍTICO,0.93365973
30489,58,Research & Development,Yes,🔴 CRÍTICO,0.933399
22742,30,Research & Development,Yes,🔴 CRÍTICO,0.9332395
41264,49,Research & Development,Yes,🔴 CRÍTICO,0.9331312
22620,53,Research & Development,Yes,🔴 CRÍTICO,0.9328462
38325,29,Sales,Yes,🔴 CRÍTICO,0.9325533
32719,26,Sales,Yes,🔴 CRÍTICO,0.93247163
9173,26,Research & Development,Yes,🔴 CRÍTICO,0.9322874
11064,28,Research & Development,Yes,🔴 CRÍTICO,0.93188894
4628,28,Research & Development,Yes,🔴 CRÍTICO,0.9316192
33894,43,Sales,Yes,🔴 CRÍTICO,0.93136954
37365,27,Human Resources,Yes,🔴 CRÍTICO,0.93122697
15995,44,Sales,Yes,🔴 CRÍTICO,0.9309094
36261,34,Research & Development,Yes,🔴 CRÍTICO,0.93060875
8252,28,Research & Development,Yes,🔴 CRÍTICO,0.9305225
47991,27,Research & Development,Yes,🔴 CRÍTICO,0.9299785
5835,30,Research & Development,Yes,🔴 CRÍTICO,0.9294293
30914,55,Human Resources,Yes,🔴 CRÍTICO,0.9279636
15514,48,Human Resources,Yes,🔴 CRÍTICO,0.9278329
8847,28,Research & Development,Yes,🔴 CRÍTICO,0.9277397
14069,28,Sales,Yes,🔴 CRÍTICO,0.92697805
37069,38,Research & Development,Yes,🔴 CRÍTICO,0.92697036
16693,49,Research & Development,Yes,🔴 CRÍTICO,0.9268756
20125,27,Sales,Yes,🔴 CRÍTICO,0.92678386
21624,26,Research & Development,Yes,🔴 CRÍTICO,0.9267739
10907,33,Research & Development,Yes,🔴 CRÍTICO,0.92668855
17092,52,Research & Development,Yes,🔴 CRÍTICO,0.9265302
8969,54,Sales,Yes,🔴 CRÍTICO,0.92636836
15605,44,Human Resources,Yes,🔴 CRÍTICO,0.9263567
16571,27,Sales,Yes,🔴 CRÍTICO,0.9261338
27561,21,Research & Development,Yes,🔴 CRÍTICO,0.9260493
2008,27,Research & Development,Yes,🔴 CRÍTICO,0.92604434
6005,28,Research & Development,Yes,🔴 CRÍTICO,0.92584896
41878,29,Research & Development,Yes,🔴 CRÍTICO,0.9258447
5928,25,Research & Development,Yes,🔴 CRÍTICO,0.9252887
31487,45,Research & Development,Yes,🔴 CRÍTICO,0.9248657
29962,55,Human Resources,Yes,🔴 CRÍTICO,0.92439884
17642,56,Research & Development,Yes,🔴 CRÍTICO,0.9242655
23982,29,Human Resources,Yes,🔴 CRÍTICO,0.92406464
47965,57,Research & Development,Yes,🔴 CRÍTICO,0.92396945
39356,45,Research & Development,Yes,🔴 CRÍTICO,0.9233132
43284,41,Research & Development,Yes,🔴 CRÍTICO,0.9232114
9393,22,Sales,Yes,🔴 CRÍTICO,0.9231039
28553,37,Human Resources,Yes,🔴 CRÍTICO,0.9228825
18477,41,Research & Development,Yes,🔴 CRÍTICO,0.92279947
39906,47,Sales,Yes,🔴 CRÍTICO,0.92276204
31139,29,Research & Development,Yes,🔴 CRÍTICO,0.9219636
5831,44,Sales,Yes,🔴 CRÍTICO,0.9217796
30166,58,Research & Development,Yes,🔴 CRÍTICO,0.9217012
48131,25,Human Resources,Yes,🔴 CRÍTICO,0.9216434
15662,53,Research & Development,Yes,🔴 CRÍTICO,0.9215509
16635,39,Research & Development,Yes,🔴 CRÍTICO,0.92120916
31794,49,Research & Development,Yes,🔴 CRÍTICO,0.9207883
3408,26,Research & Development,Yes,🔴 CRÍTICO,0.9207165
5896,40,Research & Development,Yes,🔴 CRÍTICO,0.9204374
25954,30,Research & Development,Yes,🔴 CRÍTICO,0.9203109
27766,55,Research & Development,Yes,🔴 CRÍTICO,0.91997814
748,25,Sales,Yes,🔴 CRÍTICO,0.919884
39279,29,Research & Development,Yes,🔴 CRÍTICO,0.919806
32212,30,Sales,Yes,🔴 CRÍTICO,0.91967475
42584,27,Sales,Yes,🔴 CRÍTICO,0.9196114
3113,43,Research & Development,Yes,🔴 CRÍTICO,0.91955435
26281,26,Sales,Yes,🔴 CRÍTICO,0.9194229
23692,28,Sales,Yes,🔴 CRÍTICO,0.91903967
44929,18,Human Resources,Yes,🔴 CRÍTICO,0.9189707
34980,25,Research & Development,Yes,🔴 CRÍTICO,0.91895974
23839,19,Sales,Yes,🔴 CRÍTICO,0.9189413
28589,54,Research & Development,Yes,🔴 CRÍTICO,0.91867673
30687,29,Sales,Yes,🔴 CRÍTICO,0.91849685
15393,51,Sales,Yes,🔴 CRÍTICO,0.91836655
41507,57,Research & Development,Yes,🔴 CRÍTICO,0.9182535
37792,34,Sales,Yes,🔴 CRÍTICO,0.9178826
45518,52,Research & Development,Yes,🔴 CRÍTICO,0.91787606
9284,50,Research & Development,Yes,🔴 CRÍTICO,0.9178673
7918,46,Research & Development,Yes,🔴 CRÍTICO,0.9178385
30999,26,Research & Development,Yes,🔴 CRÍTICO,0.91780317
574,20,Research & Development,Yes,🔴 CRÍTICO,0.91776943
23889,30,Research & Development,Yes,🔴 CRÍTICO,0.91768086
39530,28,Human Resources,Yes,🔴 CRÍTICO,0.9175677
43975,59,Sales,Yes,🔴 CRÍTICO,0.91749287
41417,40,Research & Development,Yes,🔴 CRÍTICO,0.9173805
1506,25,Research & Development,Yes,🔴 CRÍTICO,0.9172198
48941,59,Sales,Yes,🔴 CRÍTICO,0.91720265
459,28,Sales,Yes,🔴 CRÍTICO,0.91705096
2289,30,Research & Development,Yes,🔴 CRÍTICO,0.916988
28745,25,Human Resources,Yes,🔴 CRÍTICO,0.91692877
1716,19,Sales,Yes,🔴 CRÍTICO,0.9167989
45295,42,Research & Development,Yes,🔴 CRÍTICO,0.9166918
13926,57,Sales,Yes,🔴 CRÍTICO,0.9166741
48353,38,Research & Development,Yes,🔴 CRÍTICO,0.91656095
5734,32,Research & Development,Yes,🔴 CRÍTICO,0.91639024
45055,52,Sales,Yes,🔴 CRÍTICO,0.9163621
42312,26,Research & Development,Yes,🔴 CRÍTICO,0.9163596
15489,43,Research & Development,Yes,🔴 CRÍTICO,0.9162019
24897,25,Research & Development,Yes,🔴 CRÍTICO,0.9161793
3632,31,Sales,Yes,🔴 CRÍTICO,0.9160798
6731,46,Sales,Yes,🔴 CRÍTICO,0.9159653
39943,29,Research & Development,Yes,🔴 CRÍTICO,0.9158689
28908,29,Human Resources,Yes,🔴 CRÍTICO,0.9157272
46055,40,Research & Development,Yes,🔴 CRÍTICO,0.91571563
11756,34,Research & Development,Yes,🔴 CRÍTICO,0.9156228
40543,53,Research & Development,Yes,🔴 CRÍTICO,0.91561735
3296,58,Human Resources,Yes,🔴 CRÍTICO,0.915598
32842,52,Research & Development,Yes,🔴 CRÍTICO,0.9155884
16214,51,Sales,Yes,🔴 CRÍTICO,0.9154959
6923,28,Research & Development,Yes,🔴 CRÍTICO,0.9152034
24913,20,Research & Development,Yes,🔴 CRÍTICO,0.9151686
14356,35,Research & Development,Yes,🔴 CRÍTICO,0.9151031
32447,43,Sales,Yes,🔴 CRÍTICO,0.9150322
36314,55,Research & Development,Yes,🔴 CRÍTICO,0.91496384
44361,45,Research & Development,Yes,🔴 CRÍTICO,0.91494536
8139,47,Sales,Yes,🔴 CRÍTICO,0.914569
8727,52,Research & Development,Yes,🔴 CRÍTICO,0.9145369
7770,25,Sales,Yes,🔴 CRÍTICO,0.91451997
31014,56,Research & Development,Yes,🔴 CRÍTICO,0.9143216
5690,28,Research & Development,Yes,🔴 CRÍTICO,0.9142921
10724,34,Sales,Yes,🔴 CRÍTICO,0.91428125
16808,48,Research & Development,Yes,🔴 CRÍTICO,0.91426456
42914,59,Sales,Yes,🔴 CRÍTICO,0.914235
8451,24,Research & Development,Yes,🔴 CRÍTICO,0.9141684
14870,28,Sales,Yes,🔴 CRÍTICO,0.91415083
