Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,1305,Research & Development,3,2,Life Sciences,1,2069,3,Male,34,3,1,Sales Executive,3,Divorced,12665,23737,0,Y,No,11,3,3,80,0,12,2,2,12,10,5,4
28,No,Travel_Frequently,485,Sales,1,3,Medical,1,2070,1,Female,35,3,1,Laboratory Technician,3,Divorced,3876,16927,1,Y,No,13,3,3,80,0,10,2,3,10,2,0,4
30,No,Travel_Rarely,628,Research & Development,12,3,Life Sciences,1,2071,3,Female,59,4,1,Human Resources,4,Single,14091,13781,0,Y,No,12,3,3,80,0,6,2,2,5,1,4,5
33,Yes,Travel_Rarely,1232,Research & Development,1,3,Life Sciences,1,2072,2,Male,82,3,2,Sales Executive,3,Single,6933,7749,0,Y,Yes,17,3,3,80,0,6,1,4,6,4,4,5
25,No,Travel_Rarely,492,Research & Development,18,3,Life Sciences,1,2073,2,Female,43,3,1,Sales Executive,3,Married,14584,6920,2,Y,No,16,3,2,80,1,7,3,3,6,4,1,0
47,No,Travel_Rarely,1499,Research & Development,18,3,Technical Degree,1,2074,4,Male,69,2,1,Laboratory Technician,3,Married,1009,16442,3,Y,No,11,4,3,80,1,15,1,3,15,2,0,1
40,No,Travel_Rarely,1142,Research & Development,17,4,Other,1,2075,1,Female,49,2,3,Manager,2,Married,7256,8647,2,Y,No,16,3,4,80,1,7,0,3,7,7,10,5
45,No,Travel_Rarely,1040,Research & Development,3,2,Medical,1,2076,4,Male,65,1,5,Sales Executive,3,Married,7698,2094,2,Y,Yes,13,4,2,80,1,10,1,3,10,4,2,7
41,Yes,Travel_Rarely,536,Research & Development,11,1,Medical,1,2077,1,Male,41,2,2,Sales Representative,4,Married,5009,3020,4,Y,No,18,3,3,80,0,2,1,2,2,2,4,2
51,No,Travel_Rarely,305,Sales,9,4,Life Sciences,1,2078,3,Male,61,3,1,Sales Executive,1,Single,7047,2094,4,Y,No,16,4,1,80,0,13,2,2,1,1,1,1
30,No,Travel_Frequently,178,Sales,9,3,Life Sciences,1,2079,2,Male,92,2,1,Sales Executive,4,Divorced,7306,4826,5,Y,No,11,4,3,80,2,11,3,3,6,4,0,6
46,No,Travel_Rarely,669,Sales,11,3,Medical,1,2080,4,Male,30,2,2,Manager,4,Married,10453,26255,6,Y,No,16,3,4,80,2,13,5,3,12,5,2,11
22,No,Travel_Rarely,711,Research & Development,10,3,Human Resources,1,2081,1,Male,70,2,3,Research Director,4,Single,10034,5895,5,Y,Yes,19,3,4,80,2,4,1,3,4,4,4,4
36,Yes,Travel_Rarely,478,Research & Development,14,4,Life Sciences,1,2082,4,Female,85,1,1,Laboratory Technician,3,Married,1009,25584,4,Y,Yes,16,3,3,80,2,17,2,3,3,3,4,3
32,No,Travel_Rarely,798,Sales,1,3,Medical,1,2083,2,Male,100,2,2,Research Scientist,1,Single,3659,20252,3,Y,Yes,17,3,4,80,1,8,2,4,3,3,2,0
46,No,Travel_Frequently,543,Sales,12,2,Technical Degree,1,2084,4,Female,43,2,1,Manufacturing Director,4,Divorced,5859,22096,4,Y,No,24,3,3,80,0,10,1,2,10,5,7,10
44,No,Travel_Rarely,404,Research & Development,2,3,Other,1,2085,2,Male,50,2,4,Research Director,2,Single,5569,12108,3,Y,No,19,3,3,80,0,10,3,2,0,0,3,0
18,No,Travel_Rarely,1047,Sales,1,3,Life Sciences,1,2086,4,Male,87,2,1,Research Director,2,Divorced,4860,15776,0,Y,No,17,3,4,80,1,0,5,2,0,0,2,0
42,No,Non-Travel,930,Sales,7,3,Medical,1,2087,4,Male,83,3,2,Sales Executive,3,Married,10293,21210,3,Y,No,11,3,1,80,2,13,3,4,13,1,4,4
30,Yes,Travel_Rarely,1386,Sales,1,4,Medical,1,2088,4,Female,46,3,3,Sales Executive,3,Married,8601,17925,6,Y,Yes,18,3,1,80,2,12,4,3,8,8,0,7
