Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
40,No,Travel_Rarely,689,Research & Development,9,3,Life Sciences,1,2069,2,Male,74,2,3,Sales Representative,4,Married,6343,25606,1,Y,No,15,3,3,80,0,11,4,2,10,4,0,6
43,No,Travel_Rarely,743,Sales,16,2,Life Sciences,1,2070,4,Male,46,3,3,Sales Executive,2,Married,1009,14651,5,Y,No,17,3,2,80,0,15,2,3,9,2,0,9
26,No,Travel_Rarely,1499,Sales,1,3,Medical,1,2071,1,Female,100,2,2,Sales Executive,2,Divorced,4419,2094,3,Y,No,16,3,3,80,0,8,2,2,8,6,7,0
34,No,Travel_Rarely,1420,Research & Development,4,3,Life Sciences,1,2072,2,Female,41,3,2,Research Scientist,3,Single,6808,15070,6,Y,No,20,3,3,80,1,2,4,4,2,0,2,1
36,No,Travel_Rarely,241,Sales,5,3,Life Sciences,1,2073,4,Female,45,2,4,Laboratory Technician,4,Single,5168,18981,4,Y,Yes,17,4,2,80,0,8,3,4,3,2,0,3
41,No,Travel_Rarely,716,Sales,1,2,Medical,1,2074,3,Female,48,3,3,Healthcare Representative,4,Divorced,2857,9879,1,Y,No,21,3,2,80,1,13,1,3,7,7,0,3
38,No,Non-Travel,505,Human Resources,8,2,Life Sciences,1,2075,2,Male,64,2,4,Manufacturing Director,4,Married,10916,21776,2,Y,No,11,3,1,80,1,8,1,3,8,7,8,0
18,No,Travel_Rarely,578,Research & Development,2,2,Medical,1,2076,2,Male,30,3,2,Manager,4,Married,9966,11447,4,Y,Yes,25,3,4,80,1,0,5,3,0,0,1,0
43,No,Travel_Rarely,102,Sales,9,2,Marketing,1,2077,2,Male,71,2,1,Manufacturing Director,4,Divorced,3084,20976,3,Y,Yes,14,3,4,80,0,8,3,4,3,0,10,1
43,No,Non-Travel,478,Sales,1,4,Life Sciences,1,2078,2,Male,100,3,1,Sales Executive,3,Single,11460,7770,2,Y,No,17,4,3,80,1,18,2,3,0,0,0,0
36,No,Travel_Rarely,566,Research & Development,1,4,Marketing,1,2079,3,Male,96,3,1,Sales Executive,2,Single,1009,10934,3,Y,Yes,15,3,3,80,2,13,3,2,9,8,3,3
23,No,Travel_Rarely,1499,Research & Development,8,5,Other,1,2080,3,Male,69,3,2,Manufacturing Director,2,Married,4861,5985,0,Y,Yes,11,3,3,80,0,5,2,4,5,3,0,3
49,No,Travel_Rarely,632,Sales,16,4,Marketing,1,2081,3,Female,90,2,1,Laboratory Technician,2,Divorced,1009,25376,3,Y,No,11,3,4,80,1,15,1,4,6,6,0,3
29,Yes,Travel_Rarely,902,Research & Development,5,2,Life Sciences,1,2082,2,Male,70,2,1,Laboratory Technician,1,Single,10595,13774,2,Y,Yes,17,3,1,80,0,11,2,3,0,0,4,0
30,No,Travel_Rarely,1024,Research & Development,15,2,Medical,1,2083,3,Female,83,2,3,Research Scientist,3,Single,4157,9793,2,Y,No,12,3,2,80,0,5,3,3,5,1,0,4
27,No,Travel_Rarely,821,Research & Development,18,1,Marketing,1,2084,1,Female,86,2,2,Manufacturing Director,2,Single,6312,9835,6,Y,No,16,3,2,80,0,0,1,3,0,0,3,0
46,No,Travel_Rarely,985,Research & Development,1,3,Medical,1,2085,3,Female,63,3,5,Research Scientist,2,Married,1009,19564,0,Y,No,13,3,2,80,0,12,3,3,5,2,5,5
27,No,Travel_Rarely,252,Research & Development,17,3,Life Sciences,1,2086,1,Female,44,2,1,Research Scientist,3,Divorced,11779,9897,3,Y,Yes,22,3,3,80,0,9,3,3,7,7,3,5
35,Yes,Travel_Rarely,1091,Research & Development,1,2,Life Sciences,1,2087,4,Female,78,3,2,Human Resources,4,Single,1009,24547,1,Y,No,17,4,3,80,2,8,2,3,6,6,4,3
50,No,Travel_Rarely,722,Research & Development,12,2,Life Sciences,1,2088,4,Male,60,3,4,Manager,3,Married,6795,21891,0,Y,No,11,3,2,80,0,22,4,2,0,0,0,0
38,No,Travel_Rarely,823,Research & Development,15,5,Marketing,1,2089,3,Male,83,2,2,Research Director,1,Single,4660,23098,1,Y,No,11,3,2,80,1,17,3,3,11,6,3,2
53,No,Travel_Rarely,767,Sales,19,1,Other,1,2090,1,Male,75,2,3,Healthcare Representative,2,Single,14184,20798,3,Y,No,20,3,3,80,1,12,2,2,8,2,0,4
35,No,Travel_Rarely,676,Human Resources,3,3,Medical,1,2091,2,Male,37,3,2,Research Scientist,2,Divorced,1386,17988,0,Y,No,13,3,2,80,1,13,3,3,2,0,0,0
34,No,Travel_Frequently,567,Human Resources,1,1,Life Sciences,1,2092,3,Female,76,2,2,Sales Executive,4,Married,18792,13295,0,Y,Yes,21,4,1,80,0,8,3,3,8,8,0,0
35,No,Travel_Frequently,770,Sales,16,4,Life Sciences,1,2093,3,Male,73,3,2,Sales Representative,4,Divorced,6760,13382,2,Y,No,20,3,2,80,1,5,3,2,1,1,2,1
48,No,Travel_Frequently,612,Research & Development,3,2,Medical,1,2094,3,Male,49,3,3,Manufacturing Director,2,Single,5129,5147,5,Y,No,19,3,3,80,3,14,1,3,10,3,1,0
45,Yes,Travel_Rarely,244,Sales,13,3,Life Sciences,1,2095,1,Female,70,2,1,Research Scientist,2,Single,12720,11884,1,Y,No,16,3,3,80,0,7,3,3,2,0,2,2
46,No,Travel_Frequently,998,Research & Development,16,4,Life Sciences,1,2096,2,Male,71,2,1,Manager,1,Single,2573,7240,1,Y,No,15,3,1,80,1,11,3,3,11,7,0,7
53,No,Travel_Frequently,868,Sales,4,3,Other,1,2097,4,Female,54,3,1,Laboratory Technician,3,Married,2999,2803,0,Y,Yes,16,3,1,80,1,23,2,2,13,7,4,9
49,No,Travel_Rarely,691,Research & Development,3,1,Medical,1,2098,1,Male,99,3,2,Healthcare Representative,2,Married,3929,5129,0,Y,No,19,3,3,80,0,0,2,4,0,0,5,0
18,No,Non-Travel,1129,Sales,7,2,Life Sciences,1,2099,4,Male,91,3,3,Sales Representative,3,Married,5530,13538,3,Y,No,11,3,3,80,0,0,2,2,0,0,1,0
44,No,Travel_Rarely,1085,Sales,10,4,Medical,1,2100,3,Male,88,2,2,Sales Representative,3,Single,1009,21047,0,Y,Yes,18,4,2,80,1,14,4,2,0,0,0,0
31,No,Travel_Rarely,298,Sales,13,4,Medical,1,2101,2,Male,54,4,3,Research Director,2,Single,10996,11231,0,Y,No,12,3,3,80,0,13,2,2,0,0,2,0
38,No,Travel_Rarely,1162,Research & Development,17,1,Technical Degree,1,2102,4,Female,58,2,1,Research Scientist,4,Single,6028,20168,0,Y,No,15,3,3,80,0,17,2,4,10,0,2,7
42,No,Non-Travel,359,Sales,6,1,Medical,1,2103,2,Male,80,3,3,Laboratory Technician,3,Single,12408,19421,1,Y,No,13,3,3,80,1,14,2,2,14,7,6,5
33,No,Travel_Rarely,918,Sales,9,3,Life Sciences,1,2104,2,Male,44,2,1,Sales Executive,4,Married,5921,6263,1,Y,Yes,12,3,2,80,0,0,3,4,0,0,8,0
46,No,Travel_Rarely,440,Research & Development,10,3,Medical,1,2105,4,Female,62,2,3,Research Scientist,2,Single,11828,22511,2,Y,No,11,3,4,80,0,11,1,3,0,0,2,0
23,Yes,Travel_Rarely,762,Research & Development,12,2,Medical,1,2106,2,Male,49,2,3,Research Director,1,Single,1724,18175,1,Y,Yes,18,3,1,80,0,5,5,2,5,2,0,4
45,No,Non-Travel,680,Sales,7,4,Life Sciences,1,2107,2,Female,96,4,3,Sales Representative,1,Married,8393,10665,0,Y,Yes,12,3,4,80,1,7,3,1,5,0,5,4
35,No,Travel_Rarely,332,Research & Development,16,3,Medical,1,2108,2,Male,76,2,1,Laboratory Technician,3,Married,6949,18520,0,Y,No,15,3,3,80,2,12,3,2,7,3,0,4
28,No,Travel_Rarely,798,Research & Development,15,3,Marketing,1,2109,3,Male,37,3,4,Laboratory Technician,2,Single,10453,15465,3,Y,No,16,3,3,80,0,10,3,3,10,6,2,5
39,No,Travel_Rarely,511,Sales,5,5,Medical,1,2110,2,Male,100,3,1,Laboratory Technician,2,Single,1009,18558,5,Y,No,15,3,3,80,0,12,3,2,10,7,3,4
41,No,Travel_Rarely,812,Sales,13,2,Life Sciences,1,2111,1,Female,52,3,2,Sales Representative,3,Single,5861,24510,2,Y,No,19,3,1,80,0,0,4,3,0,0,3,0
38,No,Non-Travel,102,Research & Development,9,4,Life Sciences,1,2112,3,Male,33,4,3,Manager,4,Married,10501,26999,4,Y,No,17,3,4,80,1,7,4,2,5,3,3,5
34,No,Travel_Frequently,1258,Sales,1,5,Medical,1,2113,2,Female,73,2,1,Laboratory Technician,2,Married,13806,18644,6,Y,No,12,3,3,80,2,9,3,4,5,4,0,5
50,No,Non-Travel,1461,Research & Development,6,3,Medical,1,2114,3,Female,90,3,3,Laboratory Technician,3,Single,6370,5922,0,Y,No,13,3,3,80,1,19,6,3,13,9,5,3
38,No,Travel_Rarely,931,Human Resources,6,2,Life Sciences,1,2115,2,Male,48,3,3,Research Scientist,1,Single,9061,6223,3,Y,Yes,16,3,4,80,0,20,1,2,15,5,8,6
43,No,Travel_Rarely,667,Research & Development,9,3,Marketing,1,2116,1,Female,65,4,1,Research Scientist,4,Single,1072,12672,7,Y,No,14,3,3,80,1,8,0,3,8,5,3,4
50,No,Travel_Rarely,604,Research & Development,19,5,Life Sciences,1,2117,3,Female,38,3,3,Manufacturing Director,2,Single,11613,24100,4,Y,No,20,3,4,80,1,17,2,3,5,3,0,5
